Beginning Training Episodes...
----------HyperParameters Used----------
----------Batch Size  :32
----------LearningRate:0.000100
----------Discount(Gamma)    :0.990000
----------Epsilon Min :0.010000
----------Epsilon Max :1.000000
----------Epsilon Decau :0.995000
----------Min Memory Length    :64
----------Max Memory Length :65536
episode: 124, score: 24.0, average_score : 14.82, number of frames: 24, epsilon: 0.5344229416520513
episode: 125, score: 9.0, average_score : 14.75, number of frames: 9, epsilon: 0.531750826943791
episode: 126, score: 13.0, average_score : 14.73, number of frames: 13, epsilon: 0.5290920728090721
episode: 127, score: 13.0, average_score : 14.76, number of frames: 13, epsilon: 0.5264466124450268
episode: 128, score: 22.0, average_score : 14.85, number of frames: 22, epsilon: 0.5238143793828016
episode: 129, score: 9.0, average_score : 14.83, number of frames: 9, epsilon: 0.5211953074858876
episode: 130, score: 11.0, average_score : 14.73, number of frames: 11, epsilon: 0.5185893309484582
episode: 131, score: 16.0, average_score : 14.76, number of frames: 16, epsilon: 0.5159963842937159
episode: 132, score: 16.0, average_score : 14.83, number of frames: 16, epsilon: 0.5134164023722473
episode: 133, score: 9.0, average_score : 14.79, number of frames: 9, epsilon: 0.510849320360386
episode: 134, score: 11.0, average_score : 14.63, number of frames: 11, epsilon: 0.5082950737585841
episode: 135, score: 10.0, average_score : 14.59, number of frames: 10, epsilon: 0.5057535983897912
episode: 136, score: 12.0, average_score : 14.58, number of frames: 12, epsilon: 0.5032248303978422
episode: 137, score: 14.0, average_score : 14.52, number of frames: 14, epsilon: 0.500708706245853
episode: 138, score: 15.0, average_score : 14.55, number of frames: 15, epsilon: 0.4982051627146237
episode: 139, score: 10.0, average_score : 14.57, number of frames: 10, epsilon: 0.49571413690105054
episode: 140, score: 14.0, average_score : 14.57, number of frames: 14, epsilon: 0.4932355662165453
episode: 141, score: 14.0, average_score : 14.6, number of frames: 14, epsilon: 0.4907693883854626
episode: 142, score: 9.0, average_score : 14.6, number of frames: 9, epsilon: 0.4883155414435353
episode: 143, score: 15.0, average_score : 14.44, number of frames: 15, epsilon: 0.4858739637363176
episode: 144, score: 10.0, average_score : 14.44, number of frames: 10, epsilon: 0.483444593917636
episode: 145, score: 9.0, average_score : 14.36, number of frames: 9, epsilon: 0.4810273709480478
episode: 146, score: 22.0, average_score : 14.46, number of frames: 22, epsilon: 0.47862223409330756
episode: 147, score: 17.0, average_score : 14.53, number of frames: 17, epsilon: 0.47622912292284103
episode: 148, score: 8.0, average_score : 14.43, number of frames: 8, epsilon: 0.4738479773082268
episode: 149, score: 10.0, average_score : 14.25, number of frames: 10, epsilon: 0.47147873742168567
episode: 150, score: 13.0, average_score : 14.29, number of frames: 13, epsilon: 0.46912134373457726
episode: 151, score: 19.0, average_score : 14.33, number of frames: 19, epsilon: 0.46677573701590436
episode: 152, score: 11.0, average_score : 14.33, number of frames: 11, epsilon: 0.46444185833082485
episode: 153, score: 11.0, average_score : 14.29, number of frames: 11, epsilon: 0.46211964903917074
episode: 154, score: 10.0, average_score : 14.19, number of frames: 10, epsilon: 0.4598090507939749
