Beginning Episodes...
----------HyperParameters Used----------
----------Batch Size  :32
----------LearningRate:0.000100
----------Discount(Gamma)    :0.990000
----------Epsilon Min :0.000000
----------Epsilon Max :1.000000
----------Epsilon Decau :0.998000
----------Min Memory Length    :64
----------Max Memory Length :65536
episode: 93, score: -43.405578388438414, average_score : -158.11075658562342, number of frames: 67, epsilon: 0.8284587343310672
episode: 94, score: -331.88978371526036, average_score : -159.94000950277749, number of frames: 109, epsilon: 0.8268018168624051
episode: 95, score: -119.0149469840334, average_score : -159.51370676820724, number of frames: 130, epsilon: 0.8251482132286803
episode: 96, score: -116.02212829287879, average_score : -159.06533997980182, number of frames: 105, epsilon: 0.823497916802223
episode: 97, score: -301.30516202192746, average_score : -160.5167667353337, number of frames: 84, epsilon: 0.8218509209686186
episode: 98, score: -115.90060025223428, average_score : -160.06609838701957, number of frames: 109, epsilon: 0.8202072191266814
episode: 99, score: -116.55411787582457, average_score : -159.6309785819076, number of frames: 91, epsilon: 0.818566804688428
episode: 100, score: -166.46472843462726, average_score : -160.30376300753082, number of frames: 121, epsilon: 0.8169296710790511
episode: 101, score: -44.622394832466455, average_score : -158.3014244866117, number of frames: 119, epsilon: 0.815295811736893
episode: 102, score: -130.61356080653852, average_score : -159.6529614496017, number of frames: 88, epsilon: 0.8136652201134192
episode: 103, score: -107.80314925181432, average_score : -159.4320745691529, number of frames: 101, epsilon: 0.8120378896731923
episode: 104, score: -135.26233138455075, average_score : -159.45811826306814, number of frames: 129, epsilon: 0.8104138138938459
episode: 105, score: -133.77070045834853, average_score : -158.13091711130144, number of frames: 96, epsilon: 0.8087929862660582
episode: 106, score: -141.8207815298566, average_score : -158.37597034390518, number of frames: 117, epsilon: 0.8071754002935261
episode: 107, score: -296.26633002097583, average_score : -160.5683823673422, number of frames: 159, epsilon: 0.805561049492939
episode: 108, score: -98.30644622609437, average_score : -160.3566680072393, number of frames: 88, epsilon: 0.8039499273939532
episode: 109, score: -198.99420963194936, average_score : -161.31323761827883, number of frames: 69, epsilon: 0.8023420275391653
episode: 110, score: -101.41156435998786, average_score : -160.9980717417944, number of frames: 172, epsilon: 0.800737343484087
episode: 111, score: -244.99147506204477, average_score : -160.17327539096672, number of frames: 116, epsilon: 0.7991358687971188
episode: 112, score: -173.43669078640357, average_score : -160.9356241941553, number of frames: 86, epsilon: 0.7975375970595246
episode: 113, score: -135.5197692567016, average_score : -161.63990199715087, number of frames: 127, epsilon: 0.7959425218654056
episode: 114, score: -129.88812616630176, average_score : -161.70577409882625, number of frames: 102, epsilon: 0.7943506368216747
episode: 115, score: -25.43250409272592, average_score : -158.96236895276883, number of frames: 107, epsilon: 0.7927619355480314
episode: 116, score: -109.72133668509758, average_score : -158.91575384812018, number of frames: 68, epsilon: 0.7911764116769353
episode: 117, score: -402.4495804802353, average_score : -158.2556873991004, number of frames: 120, epsilon: 0.7895940588535815
episode: 118, score: -188.81448737737333, average_score : -159.87706132467963, number of frames: 116, epsilon: 0.7880148707358743
episode: 119, score: -247.59668958566684, average_score : -161.05626430444823, number of frames: 132, epsilon: 0.7864388409944025
episode: 120, score: -102.15509906434104, average_score : -159.02787477426574, number of frames: 126, epsilon: 0.7848659633124138
episode: 121, score: -39.43079281995736, average_score : -156.8483379375042, number of frames: 86, epsilon: 0.783296231385789
episode: 122, score: -64.45284710856754, average_score : -156.70806542139127, number of frames: 99, epsilon: 0.7817296389230174
episode: 123, score: -70.6795306128937, average_score : -154.67752078116308, number of frames: 85, epsilon: 0.7801661796451713
episode: 124, score: -148.91525547964426, average_score : -155.0373861129832, number of frames: 105, epsilon: 0.778605847285881
episode: 125, score: -121.63530338720534, average_score : -156.56999802949295, number of frames: 95, epsilon: 0.7770486355913092
episode: 126, score: -158.03162758225503, average_score : -156.59728456602102, number of frames: 110, epsilon: 0.7754945383201266
episode: 127, score: -16.011208033154247, average_score : -155.78891395122267, number of frames: 131, epsilon: 0.7739435492434863
episode: 128, score: -69.04189506665277, average_score : -153.96755080126226, number of frames: 82, epsilon: 0.7723956621449993
episode: 129, score: -224.26305798780479, average_score : -154.8691494302818, number of frames: 63, epsilon: 0.7708508708207094
episode: 130, score: -118.93541568772088, average_score : -152.89471045592467, number of frames: 80, epsilon: 0.769309169079068
episode: 131, score: -88.94648000724544, average_score : -152.39992643416707, number of frames: 68, epsilon: 0.7677705507409098
episode: 132, score: -307.28960235301383, average_score : -154.01248793405665, number of frames: 126, epsilon: 0.766235009639428
episode: 133, score: -47.98489198618171, average_score : -153.22504672118816, number of frames: 65, epsilon: 0.7647025396201492
episode: 134, score: -93.60658857453072, average_score : -152.46220401065105, number of frames: 81, epsilon: 0.763173134540909
episode: 135, score: -266.36283892197156, average_score : -152.45827620038813, number of frames: 131, epsilon: 0.7616467882718272
episode: 136, score: -40.02020840966933, average_score : -148.3633524598888, number of frames: 133, epsilon: 0.7601234946952835
episode: 137, score: -142.1231373932396, average_score : -148.80730593451352, number of frames: 85, epsilon: 0.7586032477058929
episode: 138, score: -54.82485404146114, average_score : -147.77536092695573, number of frames: 90, epsilon: 0.7570860412104812
episode: 139, score: -213.83970772564473, average_score : -147.3646823233368, number of frames: 112, epsilon: 0.7555718691280602
episode: 140, score: -64.22486009896126, average_score : -145.45249668676928, number of frames: 76, epsilon: 0.7540607253898041
episode: 141, score: -97.42060296627174, average_score : -145.80514381661146, number of frames: 74, epsilon: 0.7525526039390245
episode: 142, score: -102.0098096432301, average_score : -145.9401878624669, number of frames: 89, epsilon: 0.7510474987311464
episode: 143, score: -65.91400903901885, average_score : -145.62765581129338, number of frames: 75, epsilon: 0.7495454037336841
episode: 144, score: -85.51115585885685, average_score : -144.25862812401377, number of frames: 116, epsilon: 0.7480463129262167
episode: 145, score: -49.89500538401843, average_score : -144.21529264881192, number of frames: 132, epsilon: 0.7465502203003642
episode: 146, score: -100.7683285643058, average_score : -143.5929435645723, number of frames: 95, epsilon: 0.7450571198597635
episode: 147, score: -106.87567846787132, average_score : -143.78190992080263, number of frames: 87, epsilon: 0.743567005620044
episode: 148, score: -47.94018514007949, average_score : -143.37613680112483, number of frames: 129, epsilon: 0.7420798716088038
episode: 149, score: -85.9916774900806, average_score : -142.9864470767218, number of frames: 73, epsilon: 0.7405957118655863
episode: 150, score: -130.89686074490038, average_score : -143.3914308548784, number of frames: 100, epsilon: 0.7391145204418551
episode: 151, score: -141.48888532830168, average_score : -144.1525522060074, number of frames: 149, epsilon: 0.7376362914009714
episode: 152, score: -102.10947990564824, average_score : -142.96624315746706, number of frames: 91, epsilon: 0.7361610188181695
episode: 153, score: -144.7342301455835, average_score : -143.11975359212667, number of frames: 121, epsilon: 0.7346886967805332
episode: 154, score: -104.73630950408716, average_score : -142.64859892732605, number of frames: 104, epsilon: 0.733219319386972
episode: 155, score: -117.22699897749933, average_score : -142.41099088638447, number of frames: 93, epsilon: 0.7317528807481981
episode: 156, score: -47.03120575801913, average_score : -139.6149103284294, number of frames: 90, epsilon: 0.7302893749867018
episode: 157, score: -72.73806751360259, average_score : -137.6686109918292, number of frames: 139, epsilon: 0.7288287962367284
episode: 158, score: 1.6968818721553447, average_score : -136.56929998460993, number of frames: 138, epsilon: 0.727371138644255
episode: 159, score: -87.70498997394984, average_score : -135.55024150253638, number of frames: 115, epsilon: 0.7259163963669665
episode: 160, score: -124.87059938624681, average_score : -134.51220138851332, number of frames: 62, epsilon: 0.7244645635742325
episode: 161, score: -89.04413446102153, average_score : -133.26437571188896, number of frames: 120, epsilon: 0.723015634447084
episode: 162, score: -87.42870935296052, average_score : -132.48547966589285, number of frames: 135, epsilon: 0.7215696031781899
episode: 163, score: -374.38895469608707, average_score : -135.4631824474005, number of frames: 120, epsilon: 0.7201264639718334
episode: 164, score: -60.500294399407984, average_score : -132.40171861527463, number of frames: 170, epsilon: 0.7186862110438897
episode: 165, score: -118.88968877208005, average_score : -131.83647796406464, number of frames: 81, epsilon: 0.717248838621802
episode: 166, score: -70.30459433091643, average_score : -130.77119460939298, number of frames: 80, epsilon: 0.7158143409445584
