Beginning Training Episodes...
----------HyperParameters Used----------
----------Batch Size  :32
----------LearningRate:0.000100
----------Discount(Gamma)    :0.990000
----------Epsilon Min :0.000000
----------Epsilon Max :1.000000
----------Epsilon Decau :0.998000
----------Min Memory Length    :64
----------Max Memory Length :65536
episode: 125, score: -138.13422758360235, average_score : -189.43436529214648, number of frames: 98, epsilon: 0.7770486355913092
episode: 126, score: -163.74772044608684, average_score : -190.27492437071788, number of frames: 100, epsilon: 0.7754945383201266
episode: 127, score: -106.84290934497504, average_score : -190.3830368362197, number of frames: 131, epsilon: 0.7739435492434863
episode: 128, score: -104.01072784981602, average_score : -189.06430192460118, number of frames: 110, epsilon: 0.7723956621449993
episode: 129, score: -131.13554357956633, average_score : -187.7296902021952, number of frames: 113, epsilon: 0.7708508708207094
episode: 130, score: -57.225070896671085, average_score : -185.07398843564454, number of frames: 89, epsilon: 0.769309169079068
episode: 131, score: -149.8353951741352, average_score : -184.554984324365, number of frames: 98, epsilon: 0.7677705507409098
episode: 132, score: -12.515125316281086, average_score : -182.27325783598934, number of frames: 156, epsilon: 0.766235009639428
episode: 133, score: -133.3051439070494, average_score : -182.14994721561717, number of frames: 109, epsilon: 0.7647025396201492
episode: 134, score: -188.9375785645948, average_score : -181.12336524841362, number of frames: 128, epsilon: 0.763173134540909
episode: 135, score: -119.61157423437383, average_score : -180.24213950123973, number of frames: 140, epsilon: 0.7616467882718272
episode: 136, score: -196.47845775065616, average_score : -180.63543537861668, number of frames: 81, epsilon: 0.7601234946952835
episode: 137, score: -138.3137115063733, average_score : -180.16211780344486, number of frames: 107, epsilon: 0.7586032477058929
episode: 138, score: -142.0612670884808, average_score : -180.4603898196994, number of frames: 95, epsilon: 0.7570860412104812
episode: 139, score: -163.97891599071593, average_score : -180.56000670681038, number of frames: 137, epsilon: 0.7555718691280602
episode: 140, score: -97.2747401592068, average_score : -179.58607231512363, number of frames: 116, epsilon: 0.7540607253898041
episode: 141, score: -79.85749016451877, average_score : -179.5224703554422, number of frames: 89, epsilon: 0.7525526039390245
episode: 142, score: -72.61373253645654, average_score : -177.26660305798384, number of frames: 67, epsilon: 0.7510474987311464
episode: 143, score: -94.06951968223774, average_score : -176.93664547088764, number of frames: 70, epsilon: 0.7495454037336841
episode: 144, score: -237.0186842327266, average_score : -177.36126783912158, number of frames: 95, epsilon: 0.7480463129262167
episode: 145, score: -219.48133028770286, average_score : -175.00855799774422, number of frames: 126, epsilon: 0.7465502203003642
episode: 146, score: -175.9043459582876, average_score : -173.94667156023962, number of frames: 94, epsilon: 0.7450571198597635
episode: 147, score: -37.0317325125841, average_score : -172.71706269315888, number of frames: 74, epsilon: 0.743567005620044
episode: 148, score: -214.32920374887067, average_score : -174.01806230527905, number of frames: 87, epsilon: 0.7420798716088038
episode: 149, score: -158.81561861343664, average_score : -174.49142601973188, number of frames: 95, epsilon: 0.7405957118655863
episode: 150, score: -69.39528269925665, average_score : -172.78568105196476, number of frames: 138, epsilon: 0.7391145204418551
episode: 151, score: -119.8981278237225, average_score : -168.70075892145644, number of frames: 63, epsilon: 0.7376362914009714
episode: 152, score: -305.59292827137625, average_score : -169.87839824417006, number of frames: 101, epsilon: 0.7361610188181695
episode: 153, score: -192.22385950001578, average_score : -171.25077454265144, number of frames: 75, epsilon: 0.7346886967805332
episode: 154, score: -56.73491258379396, average_score : -167.71031639406013, number of frames: 97, epsilon: 0.733219319386972
