Beginning Episodes...
----------HyperParameters Used----------
----------Batch Size  :64
----------LearningRate:0.000100
----------Discount(Gamma)    :0.990000
----------Epsilon Min :0.010000
----------Epsilon Max :1.000000
----------Epsilon Decau :0.995000
----------Min Memory Length    :64
----------Max Memory Length :65536
episode: 93, score: -288.7914193425843, average_score : -152.1012863193271, number of frames: 117, epsilon: 0.6242658676435396
episode: 94, score: -197.2804135731318, average_score : -152.57685607989347, number of frames: 174, epsilon: 0.6211445383053219
episode: 95, score: -119.97824880050857, average_score : -152.23728725406656, number of frames: 173, epsilon: 0.6180388156137953
episode: 96, score: -68.36649578024381, average_score : -151.37263991928486, number of frames: 166, epsilon: 0.6149486215357263
episode: 97, score: -82.4003624071807, average_score : -150.66884116916137, number of frames: 146, epsilon: 0.6118738784280476
episode: 98, score: -99.55663516148869, average_score : -150.15255625999293, number of frames: 128, epsilon: 0.6088145090359074
episode: 99, score: -144.2183002168063, average_score : -150.09321369956106, number of frames: 168, epsilon: 0.6057704364907278
episode: 100, score: -163.03626065154933, average_score : -150.76844439441712, number of frames: 139, epsilon: 0.6027415843082742
episode: 101, score: -122.39646895453532, average_score : -150.6582918764656, number of frames: 76, epsilon: 0.5997278763867329
episode: 102, score: -38.07254319585374, average_score : -148.05779411320793, number of frames: 178, epsilon: 0.5967292370047992
episode: 103, score: -244.07878922088773, average_score : -147.40519087142218, number of frames: 181, epsilon: 0.5937455908197752
episode: 104, score: -12.92988276058928, average_score : -146.69332973342532, number of frames: 157, epsilon: 0.5907768628656763
episode: 105, score: -135.12250164436222, average_score : -145.2512237095517, number of frames: 182, epsilon: 0.5878229785513479
episode: 106, score: 7.0518265279051064, average_score : -141.66527317763948, number of frames: 159, epsilon: 0.5848838636585911
episode: 107, score: -4.841247998893735, average_score : -139.8045013047638, number of frames: 158, epsilon: 0.5819594443402982
episode: 108, score: -80.33440483509327, average_score : -136.67846820081076, number of frames: 306, epsilon: 0.5790496471185967
episode: 109, score: -51.47159245349641, average_score : -135.9270279613552, number of frames: 104, epsilon: 0.5761543988830038
episode: 110, score: -87.26702302948846, average_score : -136.21932904376877, number of frames: 113, epsilon: 0.5732736268885887
episode: 111, score: 9.526465448931319, average_score : -135.1340567311972, number of frames: 137, epsilon: 0.5704072587541458
episode: 112, score: -69.86899817983914, average_score : -133.97963329820212, number of frames: 96, epsilon: 0.567555222460375
episode: 113, score: -38.3161527595373, average_score : -133.15638715637022, number of frames: 203, epsilon: 0.5647174463480732
episode: 114, score: 46.9733435240087, average_score : -130.80276159111523, number of frames: 208, epsilon: 0.5618938591163328
episode: 115, score: -19.313947939265887, average_score : -129.32981519584192, number of frames: 156, epsilon: 0.5590843898207511
