episode: 94, score: 234.55343053627098, average_score : 217.96945264976426, number of frames: 242, epsilon: 0
episode: 95, score: 298.69524567111637, average_score : 218.81034632707, number of frames: 351, epsilon: 0
episode: 96, score: -6.6132620985210195, average_score : 216.48639160103298, number of frames: 196, epsilon: 0
episode: 97, score: 304.8414283535675, average_score : 217.3879736087119, number of frames: 277, epsilon: 0
episode: 98, score: -8.697797182537073, average_score : 215.10427895425482, number of frames: 245, epsilon: 0
episode: 99, score: -8.584077701204535, average_score : 212.86739538770024, number of frames: 235, epsilon: 0
episode: 100, score: 257.251249640239, average_score : 212.62314466418124, number of frames: 303, epsilon: 0
episode: 101, score: 270.73590131091083, average_score : 212.86223698357216, number of frames: 311, epsilon: 0
episode: 102, score: 243.03268740980596, average_score : 215.0266647860924, number of frames: 255, epsilon: 0
episode: 103, score: 215.6846438498558, average_score : 214.84947510805637, number of frames: 258, epsilon: 0
episode: 104, score: 245.00931320479992, average_score : 217.3245686868899, number of frames: 925, epsilon: 0
episode: 105, score: 266.30607366301365, average_score : 217.09378162206073, number of frames: 300, epsilon: 0
episode: 106, score: 3.614283559920551, average_score : 214.51711680492411, number of frames: 191, epsilon: 0
episode: 107, score: 260.3397649419901, average_score : 215.06898341074938, number of frames: 236, epsilon: 0
episode: 108, score: 239.91756282226623, average_score : 217.41828722382866, number of frames: 240, epsilon: 0
episode: 109, score: 263.9552171932553, average_score : 217.6749687260169, number of frames: 231, epsilon: 0
episode: 110, score: 258.26935754817185, average_score : 217.98177663328948, number of frames: 258, epsilon: 0
episode: 111, score: 248.65638425340407, average_score : 218.066915744477, number of frames: 238, epsilon: 0
episode: 112, score: -50.40423154539542, average_score : 214.88779751573188, number of frames: 192, epsilon: 0
episode: 113, score: 126.91145258127028, average_score : 216.12095383834597, number of frames: 1000, epsilon: 0
episode: 114, score: 5.970196270947355, average_score : 213.5234582751396, number of frames: 264, epsilon: 0
episode: 115, score: 265.4983855643635, average_score : 213.33534604553202, number of frames: 223, epsilon: 0
episode: 116, score: 277.0212387830135, average_score : 213.36106140335923, number of frames: 302, epsilon: 0
episode: 117, score: 266.1830817773124, average_score : 213.4299068388829, number of frames: 287, epsilon: 0
episode: 118, score: 273.488334618654, average_score : 213.57191308349803, number of frames: 302, epsilon: 0
episode: 119, score: 253.78127544320316, average_score : 216.038996374418, number of frames: 287, epsilon: 0
episode: 120, score: 273.249013756221, average_score : 216.28142813899933, number of frames: 261, epsilon: 0
episode: 121, score: 241.85550486494907, average_score : 216.34308246427966, number of frames: 254, epsilon: 0
episode: 122, score: 283.7652380583364, average_score : 216.66210837973523, number of frames: 314, epsilon: 0
episode: 123, score: 279.97296420904064, average_score : 217.01265884217577, number of frames: 340, epsilon: 0
episode: 124, score: 245.4883826763572, average_score : 216.91560558667592, number of frames: 264, epsilon: 0
episode: 125, score: 257.9085424003896, average_score : 217.07596053100846, number of frames: 340, epsilon: 0
episode: 126, score: 268.7009244955897, average_score : 217.06849157552276, number of frames: 244, epsilon: 0
episode: 127, score: 240.8873372500611, average_score : 216.90796934333395, number of frames: 266, epsilon: 0
episode: 128, score: 262.8463216375586, average_score : 217.3667162311319, number of frames: 244, epsilon: 0
episode: 129, score: 261.1429156483723, average_score : 217.48348207265954, number of frames: 284, epsilon: 0
episode: 130, score: 232.60993311952865, average_score : 217.23268200999593, number of frames: 248, epsilon: 0
episode: 131, score: 255.79109784724713, average_score : 217.15602169051618, number of frames: 283, epsilon: 0
episode: 132, score: 289.060928759036, average_score : 217.28502897274745, number of frames: 261, epsilon: 0
episode: 133, score: 231.1519345780653, average_score : 216.73312681882686, number of frames: 273, epsilon: 0
episode: 134, score: 265.3418994178043, average_score : 216.56369570222213, number of frames: 260, epsilon: 0
episode: 135, score: 17.483534077125768, average_score : 214.28059239763897, number of frames: 215, epsilon: 0
episode: 136, score: 235.44897604559947, average_score : 213.9470913019626, number of frames: 253, epsilon: 0
episode: 137, score: 277.6065011678311, average_score : 216.67273780337652, number of frames: 262, epsilon: 0
episode: 138, score: 236.71900754223105, average_score : 216.41692092169836, number of frames: 259, epsilon: 0
episode: 139, score: 241.13739617403007, average_score : 217.3179769414966, number of frames: 256, epsilon: 0
episode: 140, score: 241.4045709858545, average_score : 216.82773411661984, number of frames: 921, epsilon: 0
episode: 141, score: 266.2812049680628, average_score : 217.00555362035277, number of frames: 211, epsilon: 0
episode: 142, score: 247.48720532612523, average_score : 216.98916262282415, number of frames: 305, epsilon: 0
episode: 143, score: 288.8869972194161, average_score : 217.58937291577678, number of frames: 270, epsilon: 0
episode: 144, score: 290.5220006204597, average_score : 217.7492711381509, number of frames: 286, epsilon: 0
episode: 145, score: 263.69719293460116, average_score : 220.39682090088917, number of frames: 276, epsilon: 0
episode: 146, score: 271.7206919542741, average_score : 220.27895965891514, number of frames: 272, epsilon: 0
episode: 147, score: 251.63382827905397, average_score : 220.21181249343957, number of frames: 305, epsilon: 0
episode: 148, score: 295.4677481728569, average_score : 220.6547737072613, number of frames: 250, epsilon: 0
episode: 149, score: 218.47818173949386, average_score : 220.13568004909658, number of frames: 235, epsilon: 0
episode: 150, score: 239.7541412649717, average_score : 220.0636917461385, number of frames: 298, epsilon: 0
episode: 151, score: 269.51538622366445, average_score : 220.31734563130473, number of frames: 291, epsilon: 0
episode: 152, score: 242.32259208266865, average_score : 220.14638498019235, number of frames: 224, epsilon: 0
episode: 153, score: 269.1393981871196, average_score : 220.4130010311861, number of frames: 259, epsilon: 0
episode: 154, score: 279.7365602257268, average_score : 220.58312752163943, number of frames: 294, epsilon: 0
episode: 155, score: 286.3595519116605, average_score : 220.66866924836776, number of frames: 277, epsilon: 0
episode: 156, score: 265.5263865216745, average_score : 220.81819115317816, number of frames: 306, epsilon: 0
episode: 157, score: 262.8335017259792, average_score : 220.88593858840406, number of frames: 294, epsilon: 0
episode: 158, score: 280.96757232452353, average_score : 220.96164736482314, number of frames: 296, epsilon: 0
episode: 159, score: 238.97672203602443, average_score : 220.77160644774608, number of frames: 252, epsilon: 0
episode: 160, score: -22.40780322488156, average_score : 217.84909646403895, number of frames: 232, epsilon: 0
episode: 161, score: 260.5823974117223, average_score : 217.9907986046638, number of frames: 292, epsilon: 0
episode: 162, score: 249.40880468828965, average_score : 220.45206100587583, number of frames: 249, epsilon: 0
episode: 163, score: 296.58464873726837, average_score : 223.53051131298278, number of frames: 284, epsilon: 0
episode: 164, score: 255.4858972777808, average_score : 226.05346139071403, number of frames: 259, epsilon: 0
episode: 165, score: 241.59457781109307, average_score : 226.9746003382152, number of frames: 243, epsilon: 0
episode: 166, score: 305.72968174022475, average_score : 228.50782126513008, number of frames: 213, epsilon: 0
episode: 167, score: 260.1266733901787, average_score : 228.7115590584517, number of frames: 251, epsilon: 0
episode: 168, score: 248.61521100561998, average_score : 228.26866150880562, number of frames: 278, epsilon: 0
episode: 169, score: 281.74035395038544, average_score : 228.22261492656094, number of frames: 252, epsilon: 0
