Beginning Training Episodes...
----------HyperParameters Used----------
----------Batch Size  :64
----------LearningRate:0.000100
----------Discount(Gamma)    :0.990000
----------Epsilon Min :0.010000
----------Epsilon Max :1.000000
----------Epsilon Decau :0.998000
----------Min Memory Length    :64
----------Max Memory Length :65536
episode: 86, score: -69.70136385755322, average_score : -178.93098589136363, number of frames: 96, epsilon: 0.8401505035101353
episode: 87, score: -360.8529557763531, average_score : -180.99828100369305, number of frames: 95, epsilon: 0.838470202503115
episode: 88, score: -15.37963394127155, average_score : -179.13739732883437, number of frames: 96, epsilon: 0.8367932620981088
episode: 89, score: -104.46532528867832, average_score : -178.3077076394993, number of frames: 86, epsilon: 0.8351196755739125
episode: 90, score: -163.1763068881376, average_score : -178.14142851036345, number of frames: 78, epsilon: 0.8334494362227647
episode: 91, score: -354.5609697954092, average_score : -180.05903221998352, number of frames: 132, epsilon: 0.8317825373503192
episode: 92, score: -121.7675153037125, average_score : -179.43224171550747, number of frames: 92, epsilon: 0.8301189722756185
episode: 93, score: -93.97601868401154, average_score : -178.52313295985326, number of frames: 131, epsilon: 0.8284587343310672
episode: 94, score: -91.4417007801021, average_score : -177.60648630532955, number of frames: 178, epsilon: 0.8268018168624051
episode: 95, score: -320.654815849593, average_score : -179.0965730714157, number of frames: 135, epsilon: 0.8251482132286803
episode: 96, score: -303.62610761248345, average_score : -180.38038270585966, number of frames: 92, epsilon: 0.823497916802223
episode: 97, score: -129.9060643935623, average_score : -179.8653386414485, number of frames: 74, epsilon: 0.8218509209686186
episode: 98, score: -92.57418545085524, average_score : -178.98360982134147, number of frames: 104, epsilon: 0.8202072191266814
episode: 99, score: -61.84170611044735, average_score : -177.81219078423254, number of frames: 93, epsilon: 0.818566804688428
episode: 100, score: -31.5829913087333, average_score : -175.6016450878469, number of frames: 73, epsilon: 0.8169296710790511
episode: 101, score: -128.46082400020094, average_score : -175.54779666105009, number of frames: 91, epsilon: 0.815295811736893
episode: 102, score: -174.75820326889982, average_score : -173.25121055826565, number of frames: 83, epsilon: 0.8136652201134192
episode: 103, score: -144.97231761309064, average_score : -171.73657292439646, number of frames: 79, epsilon: 0.8120378896731923
episode: 104, score: -215.50101762084086, average_score : -171.8074686740934, number of frames: 117, epsilon: 0.8104138138938459
episode: 105, score: 12.572379075290897, average_score : -170.7446695090139, number of frames: 107, epsilon: 0.8087929862660582
episode: 106, score: -273.98183516711697, average_score : -172.10575191103263, number of frames: 90, epsilon: 0.8071754002935261
episode: 107, score: -122.18662939288332, average_score : -171.3353402436593, number of frames: 99, epsilon: 0.805561049492939
episode: 108, score: -134.3427297778398, average_score : -170.10662237588178, number of frames: 94, epsilon: 0.8039499273939532
episode: 109, score: -71.77552309278934, average_score : -170.15862705651256, number of frames: 140, epsilon: 0.8023420275391653
episode: 110, score: -139.45060967784036, average_score : -170.10017603564512, number of frames: 106, epsilon: 0.800737343484087
episode: 111, score: -117.93467830552538, average_score : -171.19659913087307, number of frames: 73, epsilon: 0.7991358687971188
episode: 112, score: -80.09394853084919, average_score : -168.3138418020163, number of frames: 112, epsilon: 0.7975375970595246
episode: 113, score: -108.28258401973319, average_score : -165.6340792508768, number of frames: 135, epsilon: 0.7959425218654056
episode: 114, score: -94.69168594197362, average_score : -165.69573367062065, number of frames: 76, epsilon: 0.7943506368216747
episode: 115, score: -61.13200508635409, average_score : -162.9113049734231, number of frames: 82, epsilon: 0.7927619355480314
episode: 116, score: -164.0143632769877, average_score : -162.6774268669865, number of frames: 144, epsilon: 0.7911764116769353
episode: 117, score: -62.073573307993556, average_score : -162.20413251162847, number of frames: 158, epsilon: 0.7895940588535815
episode: 118, score: -162.0958577929211, average_score : -160.53390200314087, number of frames: 131, epsilon: 0.7880148707358743
episode: 119, score: -138.1329234769254, average_score : -159.77815264024733, number of frames: 77, epsilon: 0.7864388409944025
episode: 120, score: -85.2728633973863, average_score : -156.94573210269624, number of frames: 80, epsilon: 0.7848659633124138
episode: 121, score: -100.97618150207009, average_score : -157.07900953951844, number of frames: 130, epsilon: 0.783296231385789
episode: 122, score: -208.84902274217723, average_score : -157.7497811985294, number of frames: 128, epsilon: 0.7817296389230174
episode: 123, score: -192.87474572996376, average_score : -158.79562303099533, number of frames: 113, epsilon: 0.7801661796451713
episode: 124, score: -170.9639540200442, average_score : -159.15559506602335, number of frames: 102, epsilon: 0.778605847285881
episode: 125, score: -214.20817440372673, average_score : -160.5584899686454, number of frames: 159, epsilon: 0.7770486355913092
episode: 126, score: -164.4567521727928, average_score : -160.88976887988443, number of frames: 109, epsilon: 0.7754945383201266
episode: 127, score: -147.49277137938117, average_score : -162.24462095416123, number of frames: 110, epsilon: 0.7739435492434863
episode: 128, score: -277.1824609901651, average_score : -163.9312566150247, number of frames: 116, epsilon: 0.7723956621449993
episode: 129, score: -261.02941887386555, average_score : -162.8706738545151, number of frames: 142, epsilon: 0.7708508708207094
episode: 130, score: -34.56635287065977, average_score : -160.9676138926346, number of frames: 80, epsilon: 0.769309169079068
episode: 131, score: -10.739858681255, average_score : -160.20930847358142, number of frames: 83, epsilon: 0.7677705507409098
episode: 132, score: -171.24440061300987, average_score : -160.3718915934305, number of frames: 130, epsilon: 0.766235009639428
episode: 133, score: -338.2472425611714, average_score : -160.12460459603105, number of frames: 133, epsilon: 0.7647025396201492
episode: 134, score: -54.747964075687925, average_score : -159.59291762633683, number of frames: 100, epsilon: 0.763173134540909
episode: 135, score: -126.78343587711325, average_score : -159.4949324606011, number of frames: 118, epsilon: 0.7616467882718272
episode: 136, score: -113.59704334272911, average_score : -158.16380376704498, number of frames: 164, epsilon: 0.7601234946952835
episode: 137, score: -130.68208446945846, average_score : -158.61251553592467, number of frames: 79, epsilon: 0.7586032477058929
episode: 138, score: -233.2463773375597, average_score : -159.86461760238143, number of frames: 117, epsilon: 0.7570860412104812
episode: 139, score: -153.52269050137818, average_score : -156.95918138330157, number of frames: 103, epsilon: 0.7555718691280602
episode: 140, score: -93.32515835389505, average_score : -155.28207509346686, number of frames: 190, epsilon: 0.7540607253898041
episode: 141, score: -77.1530913154608, average_score : -154.22369875305873, number of frames: 113, epsilon: 0.7525526039390245
episode: 142, score: -88.13340104660955, average_score : -154.24603190929827, number of frames: 96, epsilon: 0.7510474987311464
episode: 143, score: -99.66225878729354, average_score : -153.572003039307, number of frames: 100, epsilon: 0.7495454037336841
episode: 144, score: -220.2296730279619, average_score : -152.1180046870183, number of frames: 169, epsilon: 0.7480463129262167
episode: 145, score: -64.56669792010453, average_score : -152.0283034448181, number of frames: 92, epsilon: 0.7465502203003642
episode: 146, score: -173.65038962711, average_score : -152.63548926992192, number of frames: 114, epsilon: 0.7450571198597635
episode: 147, score: -150.0583809157268, average_score : -153.64033303430458, number of frames: 104, epsilon: 0.743567005620044
episode: 148, score: -103.08116123678569, average_score : -154.06655586144836, number of frames: 112, epsilon: 0.7420798716088038
episode: 149, score: -85.35374642160625, average_score : -153.51989659688223, number of frames: 97, epsilon: 0.7405957118655863
episode: 150, score: -68.28078656384048, average_score : -151.82252612709522, number of frames: 76, epsilon: 0.7391145204418551
episode: 151, score: -125.85145372776232, average_score : -150.05624362635268, number of frames: 88, epsilon: 0.7376362914009714
episode: 152, score: -165.35834798212687, average_score : -150.76484248018093, number of frames: 156, epsilon: 0.7361610188181695
episode: 153, score: -286.32769680044186, average_score : -152.56291828063004, number of frames: 113, epsilon: 0.7346886967805332
episode: 154, score: -97.4457124038669, average_score : -152.40959922857047, number of frames: 103, epsilon: 0.733219319386972
episode: 155, score: -130.43858046456498, average_score : -152.88071223055167, number of frames: 110, epsilon: 0.7317528807481981
episode: 156, score: -126.71748275222485, average_score : -152.5344379791328, number of frames: 110, epsilon: 0.7302893749867018
episode: 157, score: -122.79854903886535, average_score : -150.01252396172384, number of frames: 130, epsilon: 0.7288287962367284
episode: 158, score: -70.6351135516968, average_score : -149.0102708143544, number of frames: 145, epsilon: 0.727371138644255
episode: 159, score: -93.15622061477664, average_score : -148.5912152934578, number of frames: 167, epsilon: 0.7259163963669665
episode: 160, score: -80.83378312140104, average_score : -148.51970074788423, number of frames: 103, epsilon: 0.7244645635742325
episode: 161, score: -79.07223200960883, average_score : -147.66616353832157, number of frames: 117, epsilon: 0.723015634447084
episode: 162, score: -113.51567999376233, average_score : -147.4458850354225, number of frames: 76, epsilon: 0.7215696031781899
episode: 163, score: -99.35433248755328, average_score : -147.53997967659888, number of frames: 87, epsilon: 0.7201264639718334
episode: 164, score: -96.20602285096362, average_score : -147.7336866402879, number of frames: 142, epsilon: 0.7186862110438897
episode: 165, score: -37.4313340516058, average_score : -145.00637629307258, number of frames: 147, epsilon: 0.717248838621802
episode: 166, score: -105.82541660988659, average_score : -143.02830567945293, number of frames: 130, epsilon: 0.7158143409445584
episode: 167, score: -82.21058497512976, average_score : -141.54835534509868, number of frames: 103, epsilon: 0.7143827122626694
episode: 168, score: -17.677912330167544, average_score : -141.26878755809074, number of frames: 87, epsilon: 0.7129539468381441
episode: 169, score: -115.59814255045447, average_score : -140.89022033582958, number of frames: 111, epsilon: 0.7115280389444678
episode: 170, score: -1.813242862023813, average_score : -139.78163779754016, number of frames: 103, epsilon: 0.7101049828665789
episode: 171, score: -164.71749137335792, average_score : -139.689311690477, number of frames: 135, epsilon: 0.7086847729008457
episode: 172, score: -154.53142590766822, average_score : -140.45629330683795, number of frames: 97, epsilon: 0.707267403355044
episode: 173, score: -73.15206266378539, average_score : -140.16268430154537, number of frames: 98, epsilon: 0.705852868548334
episode: 174, score: -119.43007142516849, average_score : -140.11076403449817, number of frames: 101, epsilon: 0.7044411628112373
episode: 175, score: -109.14202074863, average_score : -138.2878180186146, number of frames: 86, epsilon: 0.7030322804856147
episode: 176, score: -174.04436604709923, average_score : -138.7612498618789, number of frames: 123, epsilon: 0.7016262159246435
episode: 177, score: -41.813846684125494, average_score : -138.50472029036035, number of frames: 152, epsilon: 0.7002229634927942
episode: 178, score: -122.17531281649121, average_score : -138.03787053696024, number of frames: 123, epsilon: 0.6988225175658086
episode: 179, score: -101.86314526342524, average_score : -137.8496459535483, number of frames: 171, epsilon: 0.697424872530677
episode: 180, score: -114.80652319634231, average_score : -137.56546710279295, number of frames: 177, epsilon: 0.6960300227856157
episode: 181, score: -50.4522226705232, average_score : -135.46499688510815, number of frames: 76, epsilon: 0.6946379627400444
episode: 182, score: -147.33467759681977, average_score : -131.5881994923995, number of frames: 133, epsilon: 0.6932486868145643
episode: 183, score: -174.86758865781144, average_score : -130.90081298354423, number of frames: 95, epsilon: 0.6918621894409351
episode: 184, score: -168.99680086186754, average_score : -129.83776611620985, number of frames: 123, epsilon: 0.6904784650620532
episode: 185, score: -139.54503606170425, average_score : -130.16135565228072, number of frames: 76, epsilon: 0.6890975081319292
episode: 186, score: -146.1033428133568, average_score : -130.92537544183875, number of frames: 138, epsilon: 0.6877193131156653
episode: 187, score: -92.99631628086235, average_score : -128.24680904688384, number of frames: 78, epsilon: 0.6863438744894339
episode: 188, score: -97.24732415004148, average_score : -129.06548594897154, number of frames: 96, epsilon: 0.684971186740455
episode: 189, score: -60.45268063722827, average_score : -128.62535950245703, number of frames: 83, epsilon: 0.6836012443669741
episode: 190, score: -179.75855570119276, average_score : -128.7911819905876, number of frames: 111, epsilon: 0.6822340418782402
episode: 191, score: -79.21629331235809, average_score : -126.0377352257571, number of frames: 79, epsilon: 0.6808695737944838
episode: 192, score: -62.346183388325414, average_score : -125.44352190660322, number of frames: 110, epsilon: 0.6795078346468948
episode: 193, score: -165.51782775117073, average_score : -126.15893999727481, number of frames: 115, epsilon: 0.678148818977601
episode: 194, score: -23.874650255356784, average_score : -125.48326949202736, number of frames: 149, epsilon: 0.6767925213396458
episode: 195, score: -111.59682986142387, average_score : -123.39268963214569, number of frames: 126, epsilon: 0.6754389362969666
episode: 196, score: -103.32959395461653, average_score : -121.38972449556701, number of frames: 83, epsilon: 0.6740880584243727
episode: 197, score: -124.22721991364578, average_score : -121.33293605076786, number of frames: 123, epsilon: 0.6727398823075239
episode: 198, score: -228.29159218337554, average_score : -122.69011011809306, number of frames: 119, epsilon: 0.6713944025429088
episode: 199, score: -89.05458733750667, average_score : -122.96223893036364, number of frames: 135, epsilon: 0.670051613737823
episode: 200, score: -83.10309894124765, average_score : -123.47744000668878, number of frames: 80, epsilon: 0.6687115105103473
episode: 201, score: -81.55398417597877, average_score : -123.00837160844657, number of frames: 91, epsilon: 0.6673740874893266
