Beginning Episodes...
----------HyperParameters Used----------
----------Batch Size  :32
----------LearningRate:0.000100
----------Discount(Gamma)    :0.990000
----------Epsilon Min :0.000000
----------Epsilon Max :1.000000
----------Epsilon Decau :0.998000
----------Min Memory Length    :64
----------Max Memory Length :65536
episode: 110, score: -86.54765851896492, average_score : -156.39870865840751, number of frames: 85, epsilon: 0.800737343484087
episode: 111, score: -70.06344767343607, average_score : -156.00785161931128, number of frames: 94, epsilon: 0.7991358687971188
episode: 112, score: -193.84891301378525, average_score : -156.76423225579845, number of frames: 153, epsilon: 0.7975375970595246
episode: 113, score: -107.18836486377685, average_score : -154.2722614739768, number of frames: 130, epsilon: 0.7959425218654056
episode: 114, score: -287.0876545552162, average_score : -153.37713494530072, number of frames: 85, epsilon: 0.7943506368216747
episode: 115, score: -58.580047867168226, average_score : -150.01490657579473, number of frames: 72, epsilon: 0.7927619355480314
episode: 116, score: -142.81359056860703, average_score : -151.08965763866692, number of frames: 72, epsilon: 0.7911764116769353
episode: 117, score: -46.238398833610916, average_score : -149.51899963419203, number of frames: 145, epsilon: 0.7895940588535815
episode: 118, score: -72.17482922804895, average_score : -148.2987782057173, number of frames: 140, epsilon: 0.7880148707358743
episode: 119, score: -60.814619150852884, average_score : -147.678616421918, number of frames: 145, epsilon: 0.7864388409944025
episode: 120, score: -81.88054589498952, average_score : -143.0763177460169, number of frames: 88, epsilon: 0.7848659633124138
episode: 121, score: -18.756151353247617, average_score : -142.46189227493346, number of frames: 139, epsilon: 0.783296231385789
episode: 122, score: -71.61068433878206, average_score : -140.65862109288435, number of frames: 112, epsilon: 0.7817296389230174
episode: 123, score: -119.42038458620075, average_score : -140.55526385251574, number of frames: 116, epsilon: 0.7801661796451713
episode: 124, score: -140.09726487388372, average_score : -141.10769492361126, number of frames: 108, epsilon: 0.778605847285881
episode: 125, score: -306.8205993833237, average_score : -142.47054934097645, number of frames: 140, epsilon: 0.7770486355913092
episode: 126, score: -112.99364061274132, average_score : -142.5554852847179, number of frames: 92, epsilon: 0.7754945383201266
episode: 127, score: -82.90735468007628, average_score : -140.90107703613177, number of frames: 122, epsilon: 0.7739435492434863
episode: 128, score: -107.99615012795321, average_score : -141.43477433853386, number of frames: 138, epsilon: 0.7723956621449993
episode: 129, score: -68.82970731712321, average_score : -141.0098623736363, number of frames: 96, epsilon: 0.7708508708207094
episode: 130, score: -78.01609818957503, average_score : -139.05498388641286, number of frames: 79, epsilon: 0.769309169079068
episode: 131, score: -69.10194854166204, average_score : -138.67097096787555, number of frames: 194, epsilon: 0.7677705507409098
episode: 132, score: -98.10753140573988, average_score : -136.3394073342738, number of frames: 119, epsilon: 0.766235009639428
episode: 133, score: 46.06469975321383, average_score : -133.91231767731625, number of frames: 143, epsilon: 0.7647025396201492
episode: 134, score: -29.858882352964542, average_score : -133.42913308423417, number of frames: 102, epsilon: 0.763173134540909
episode: 135, score: -94.73092600640636, average_score : -132.28751979714335, number of frames: 72, epsilon: 0.7616467882718272
episode: 136, score: -96.41976389720246, average_score : -132.5349492660513, number of frames: 62, epsilon: 0.7601234946952835
episode: 137, score: -41.835695919302566, average_score : -129.13940179310325, number of frames: 65, epsilon: 0.7586032477058929
episode: 138, score: -79.62053215785016, average_score : -127.82281306575402, number of frames: 137, epsilon: 0.7570860412104812
episode: 139, score: -113.93124053778412, average_score : -124.64667684212964, number of frames: 85, epsilon: 0.7555718691280602
episode: 140, score: -46.969329865999356, average_score : -124.41298749817514, number of frames: 87, epsilon: 0.7540607253898041
episode: 141, score: -63.42945156156141, average_score : -124.60420336628995, number of frames: 81, epsilon: 0.7525526039390245
episode: 142, score: -119.7356189946566, average_score : -124.02157067115766, number of frames: 130, epsilon: 0.7510474987311464
episode: 143, score: 13.192248899807538, average_score : -120.15066296006164, number of frames: 182, epsilon: 0.7495454037336841
episode: 144, score: -86.70570157841982, average_score : -119.73646758398489, number of frames: 68, epsilon: 0.7480463129262167
episode: 145, score: -45.2575402743208, average_score : -119.66482437767107, number of frames: 144, epsilon: 0.7465502203003642
episode: 146, score: -50.22719379576186, average_score : -118.2410866451748, number of frames: 85, epsilon: 0.7450571198597635
episode: 147, score: -77.94823123470348, average_score : -117.49765569067863, number of frames: 146, epsilon: 0.743567005620044
episode: 148, score: -72.38832823729501, average_score : -114.78484684094359, number of frames: 79, epsilon: 0.7420798716088038
episode: 149, score: -30.771865185601825, average_score : -114.0387622858305, number of frames: 161, epsilon: 0.7405957118655863
episode: 150, score: -99.41950984669278, average_score : -114.16673907166918, number of frames: 114, epsilon: 0.7391145204418551
episode: 151, score: -85.16940164856422, average_score : -114.154307590523, number of frames: 131, epsilon: 0.7376362914009714
episode: 152, score: -145.4668038925734, average_score : -115.29515686177409, number of frames: 124, epsilon: 0.7361610188181695
episode: 153, score: -140.03296857316667, average_score : -112.70044029768765, number of frames: 120, epsilon: 0.7346886967805332
episode: 154, score: -129.43294396543166, average_score : -111.78096136832166, number of frames: 170, epsilon: 0.733219319386972
episode: 155, score: -77.22694792914433, average_score : -110.7602506125636, number of frames: 81, epsilon: 0.7317528807481981
episode: 156, score: -87.76128130703404, average_score : -111.01522697618262, number of frames: 128, epsilon: 0.7302893749867018
episode: 157, score: -72.3829150565785, average_score : -109.3540980753392, number of frames: 83, epsilon: 0.7288287962367284
episode: 158, score: -65.40841434184956, average_score : -108.94403462944081, number of frames: 121, epsilon: 0.727371138644255
episode: 159, score: -39.15749379333195, average_score : -108.68227116285459, number of frames: 110, epsilon: 0.7259163963669665
episode: 160, score: -30.021052482039693, average_score : -107.08752781253469, number of frames: 157, epsilon: 0.7244645635742325
episode: 161, score: -49.70140371838721, average_score : -106.65262946372785, number of frames: 141, epsilon: 0.723015634447084
episode: 162, score: -119.47622667330072, average_score : -106.92107354533742, number of frames: 152, epsilon: 0.7215696031781899
episode: 163, score: -112.14731316607907, average_score : -104.45386957264854, number of frames: 103, epsilon: 0.7201264639718334
episode: 164, score: -22.241470096657565, average_score : -101.45464169472162, number of frames: 85, epsilon: 0.7186862110438897
episode: 165, score: -88.79125526364544, average_score : -101.63233867744997, number of frames: 135, epsilon: 0.717248838621802
episode: 166, score: -89.7029714618549, average_score : -101.08324023443888, number of frames: 127, epsilon: 0.7158143409445584
episode: 167, score: 40.2481800155569, average_score : -100.29417311010357, number of frames: 95, epsilon: 0.7143827122626694
episode: 168, score: -48.872469084000095, average_score : -99.94021700941299, number of frames: 147, epsilon: 0.7129539468381441
episode: 169, score: -51.5867030283456, average_score : -99.52383428390085, number of frames: 76, epsilon: 0.7115280389444678
episode: 170, score: -127.06820137233618, average_score : -99.18115739381678, number of frames: 120, epsilon: 0.7101049828665789
episode: 171, score: -49.79445917920722, average_score : -98.17192905992053, number of frames: 73, epsilon: 0.7086847729008457
episode: 172, score: -174.5224923385735, average_score : -95.56381972842293, number of frames: 118, epsilon: 0.707267403355044
episode: 173, score: -97.30574428861847, average_score : -96.6472381018022, number of frames: 83, epsilon: 0.705852868548334
episode: 174, score: -48.77989397437148, average_score : -96.47252346554303, number of frames: 146, epsilon: 0.7044411628112373
episode: 175, score: -253.43396422636016, average_score : -97.1600249920435, number of frames: 117, epsilon: 0.7030322804856147
episode: 176, score: -95.17244828290013, average_score : -96.13787698961544, number of frames: 74, epsilon: 0.7016262159246435
episode: 177, score: -54.32869519666119, average_score : -93.80623336658844, number of frames: 124, epsilon: 0.7002229634927942
episode: 178, score: -85.99489510519174, average_score : -94.23349465159292, number of frames: 144, epsilon: 0.6988225175658086
episode: 179, score: -51.304054796838514, average_score : -93.79060838594451, number of frames: 176, epsilon: 0.697424872530677
episode: 180, score: -116.65585583607859, average_score : -94.03051377585363, number of frames: 128, epsilon: 0.6960300227856157
episode: 181, score: -50.795796578236136, average_score : -92.50346875171611, number of frames: 69, epsilon: 0.6946379627400444
episode: 182, score: -103.80848170328628, average_score : -91.42404513428365, number of frames: 149, epsilon: 0.6932486868145643
episode: 183, score: -63.475736918984246, average_score : -91.06188970913004, number of frames: 128, epsilon: 0.6918621894409351
episode: 184, score: 31.84351870761492, average_score : -89.7910745175713, number of frames: 120, epsilon: 0.6904784650620532
